CustomerID,Recency,Frequency,Monetary,DistinctProducts,TenureDays,AvgBasketValue,IsUK,AcquiredInQ4,CancellationRate,FutureSpend,Repurchase
12346.0,233,12,77556.46,27,633,6463.038333333334,1,1,0.2,0.0,0
12347.0,37,6,3402.3900000000003,107,312,567.065,0,1,0.0,1519.14,1
12348.0,156,4,1388.3999999999999,24,346,347.09999999999997,0,0,0.0,270.0,1
12349.0,315,2,2221.14,89,497,1110.57,0,0,0.3333333333333333,1457.55,1
12350.0,218,1,294.4,16,218,294.4,0,0,0.0,0.0,0
12351.0,283,1,300.93,21,283,300.93,0,1,0.0,0.0,0
12352.0,170,6,985.3100000000001,36,300,164.21833333333333,0,1,0.14285714285714285,744.23,1
12353.0,112,2,406.76,23,316,203.38,0,1,0.0,0.0,0
12354.0,140,1,1079.4,58,140,1079.4,0,0,0.0,0.0,0
12355.0,122,2,947.61,35,475,473.805,0,0,0.0,0.0,0
12356.0,153,5,5553.38,103,332,1110.676,0,1,0.0,58.349999999999994,1
12357.0,296,1,11229.99,164,296,11229.99,0,1,0.0,6207.67,1
12358.0,58,4,2923.87,55,639,730.9675,0,1,0.0,0.0,0
12359.0,97,9,6059.09,230,642,673.2322222222223,0,1,0.25,2814.3,1
12360.0,20,5,2689.11,122,563,537.822,0,0,0.0,923.78,1
12361.0,195,4,451.25,17,590,112.8125,0,0,0.0,0.0,0
12362.0,28,4,1582.35,88,203,395.5875,0,0,0.3333333333333333,3154.88,1
12363.0,17,2,552.0,23,150,276.0,0,0,0.0,0.0,0
12364.0,20,1,578.92,33,20,578.92,0,0,0.0,629.18,1
12365.0,199,1,320.69,21,199,320.69,0,0,0.0,0.0,0
12366.0,541,1,500.24,3,541,500.24,0,0,0.0,0.0,0
12368.0,536,1,917.6999999999999,18,536,917.6999999999999,0,0,0.0,0.0,0
12369.0,321,3,1511.15,89,549,503.7166666666667,0,0,0.0,0.0,0
12370.0,182,6,3217.28,149,576,536.2133333333334,0,0,0.0,739.28,1
